,Nombres,Anteriores,Ultimos,Difs,Maximos,Minimos,Fechas,Horas
0,IBEX 35®,"9.534,10","9.510,30","-0,25","9.553,60","9.476,50",05/04/2019,17:38
1,IBEX 35® con Dividendos,"26.788,80","26.721,80","-0,25","26.843,70","26.626,90",05/04/2019,17:38
2,IBEX MEDIUM CAP®,"13.794,30","13.800,60","0,05","13.858,90","13.780,60",05/04/2019,17:38
3,IBEX SMALL CAP®,"6.736,40","6.772,30","0,53","6.775,60","6.731,50",05/04/2019,17:38
4,IBEX 35® Bancos,"579,80","579,10","-0,12","582,40","575,50",05/04/2019,17:38
5,IBEX 35® Energía,"1.330,70","1.328,80","-0,14","1.335,20","1.323,60",05/04/2019,17:38
6,IBEX 35® Construcción,"1.529,20","1.526,70","-0,16","1.532,20","1.512,70",05/04/2019,17:38
7,IBEX TOP Dividendo®,"2.982,30","2.978,70","-0,12","2.991,30","2.966,80",05/04/2019,17:38
8,IBEX 35® con Dividendos Netos,"22.780,90","22.724,00","-0,25","22.827,60","22.643,30",05/04/2019,17:38
9,IBEX 35® Inverso,"2.576,60","2.583,00","0,25","2.592,20","2.571,30",05/04/2019,17:38
10,IBEX 35® Doble Inverso,"383,30","385,20","0,50","387,90","381,70",05/04/2019,17:38
11,IBEX 35® Triple Inverso,"25,60","25,80","0,78","26,10","25,40",05/04/2019,17:38
12,IBEX 35® Inverso X5,"10,10","10,20","0,99","10,40","10,00",05/04/2019,17:38
13,IBEX 35® Inverso X10,"307,70","315,40","2,50","326,30","301,40",05/04/2019,17:38
14,IBEX 35® Doble Apalancado,"5.609,30","5.581,30","-0,50","5.632,20","5.541,50",05/04/2019,17:38
15,IBEX 35® Doble Apalancado Bruto,"22.213,60","22.102,30","-0,50","22.304,50","21.945,00",05/04/2019,17:38
16,IBEX 35® Doble Apalancado Neto,"19.069,10","18.973,70","-0,50","19.147,20","18.838,60",05/04/2019,17:38
17,IBEX 35® Triple Apalancado,"1.161,70","1.153,00","-0,75","1.168,80","1.140,60",05/04/2019,17:38
18,IBEX 35® Triple Apalancado Neto,"11.154,20","11.070,50","-0,75","11.222,60","10.951,90",05/04/2019,17:38
19,IBEX 35® Apalancado Neto X5,"2.242,80","2.214,70","-1,25","2.265,70","2.175,00",05/04/2019,17:38
20,IBEX 35® Apalancado Neto X10,"2.385,00","2.325,30","-2,50","2.433,70","2.240,80",05/04/2019,17:38
21,IBEX 35® Capped Net Return,"22.843,30","22.786,20","-0,25","22.890,10","22.705,30",05/04/2019,17:38
22,IBEX 35® Impacto Div,"79,90","79,90",- ,"79,90","79,90",05/04/2019,17:38
23,IBEX 35® Volatilidad Objetivo 10% Estándar,"186,80","186,40","-0,21","187,10","185,90",05/04/2019,17:38
24,IBEX 35® Volatilidad Objetivo 12% Estándar,"194,90","194,40","-0,26","195,30","193,80",05/04/2019,17:38
25,IBEX 35® Volatilidad Objetivo 15% Estándar,"202,60","202,00","-0,30","203,10","201,20",05/04/2019,17:38
26,IBEX 35® Volatilidad Objetivo 18% Estándar,"204,20","203,50","-0,34","204,80","202,50",05/04/2019,17:38
27,IBEX 35® Volatilidad Objetivo 10% Financiado,"134,80","134,50","-0,22","135,00","134,20",05/04/2019,17:38
28,IBEX 35® Volatilidad Objetivo 12% Financiado,"138,20","137,90","-0,22","138,50","137,40",05/04/2019,17:38
29,IBEX 35® Volatilidad Objetivo 15% Financiado,"148,60","148,20","-0,27","149,00","147,60",05/04/2019,17:38
30,IBEX 35® Volatilidad Objetivo 18% Financiado,"143,60","143,10","-0,35","144,00","142,40",05/04/2019,17:38
31,VIBEX®,"13,51","13,44","-0,52","13,44","13,44",05/04/2019, 
32,IBEX 35® Skew,"6,12","5,93","-3,10","5,93","5,93",05/04/2019, 
33,IBEX 35® BuyWrite,"1.658,30","1.659,45","0,07","1.659,45","1.659,45",05/04/2019, 
34,IBEX 35® PutWrite,"1.642,70","1.643,05","0,02","1.643,05","1.643,05",05/04/2019, 
35,IBEX 35® Protective Put,"585,17","585,07","-0,02","585,07","585,07",05/04/2019, 
36,IBEX 35® Venta de Strangle,"2.154,57","2.156,51","0,09","2.156,51","2.156,51",05/04/2019, 
37,IBEX TOP Dividendo® Rentabilidad,"7.092,20","7.083,60","-0,12","7.113,60","7.055,40",05/04/2019,17:38
38,IBEX TOP Dividendo® Rentabilidad Neta,"6.011,40","6.004,10","-0,12","6.029,50","5.980,20",05/04/2019,17:38
39,IBEX MEDIUM CAP® con Dividendos,"14.620,90","14.627,70","0,05","14.689,40","14.606,40",05/04/2019,17:38
40,IBEX MEDIUM CAP® con Dividendos Netos,"13.751,30","13.757,70","0,05","13.815,70","13.737,70",05/04/2019,17:38
41,IBEX SMALL CAP® con Dividendos,"9.553,20","9.604,00","0,53","9.608,80","9.546,30",05/04/2019,17:38
42,IBEX SMALL CAP® con Dividendos Netos,"9.266,60","9.316,00","0,53","9.320,60","9.260,00",05/04/2019,17:38
43,IBEX MAB® 15,"1.096,80","1.095,90","-0,08","1.114,50","1.092,40",05/04/2019,17:39
