,Nombres,Anteriores,Ultimos,Difs,Maximos,Minimos,Fechas,Horas
0,IBEX 35®,"9.437,70","9.407,80","-0,32","9.511,20","9.388,30",09/04/2019,17:38
1,IBEX 35® con Dividendos,"26.575,10","26.502,90","-0,27","26.794,20","26.447,90",09/04/2019,17:38
2,IBEX MEDIUM CAP®,"13.722,70","13.654,50","-0,50","13.730,10","13.624,30",09/04/2019,17:38
3,IBEX SMALL CAP®,"6.743,50","6.630,30","-1,68","6.732,10","6.598,30",09/04/2019,17:38
4,IBEX 35® Bancos,"571,90","570,20","-0,30","578,30","567,80",09/04/2019,17:38
5,IBEX 35® Energía,"1.323,50","1.321,30","-0,17","1.331,70","1.318,80",09/04/2019,17:38
6,IBEX 35® Construcción,"1.521,60","1.503,50","-1,19","1.526,70","1.499,10",09/04/2019,17:38
7,IBEX TOP Dividendo®,"2.953,50","2.939,00","-0,49","2.966,10","2.933,40",09/04/2019,17:38
8,IBEX 35® con Dividendos Netos,"22.590,00","22.526,70","-0,28","22.774,20","22.479,90",09/04/2019,17:38
9,IBEX 35® Inverso,"2.597,10","2.604,10","0,27","2.609,50","2.575,70",09/04/2019,17:38
10,IBEX 35® Doble Inverso,"389,40","391,50","0,54","393,10","383,00",09/04/2019,17:38
11,IBEX 35® Triple Inverso,"26,20","26,40","0,76","26,60","25,60",09/04/2019,17:38
12,IBEX 35® Inverso X5,"10,50","10,60","0,95","10,80","10,10",09/04/2019,17:38
13,IBEX 35® Inverso X10,"332,60","341,60","2,71","348,50","305,20",09/04/2019,17:38
14,IBEX 35® Doble Apalancado,"5.496,00","5.461,10","-0,64","5.581,60","5.438,40",09/04/2019,17:38
15,IBEX 35® Doble Apalancado Bruto,"21.859,20","21.740,30","-0,54","22.219,50","21.649,80",09/04/2019,17:38
16,IBEX 35® Doble Apalancado Neto,"18.749,50","18.644,30","-0,56","19.055,10","18.566,60",09/04/2019,17:38
17,IBEX 35® Triple Apalancado,"1.126,50","1.115,80","-0,95","1.152,80","1.108,80",09/04/2019,17:38
18,IBEX 35® Triple Apalancado Neto,"10.874,20","10.782,60","-0,84","11.140,10","10.715,10",09/04/2019,17:38
19,IBEX 35® Apalancado Neto X5,"2.149,20","2.119,00","-1,41","2.236,80","2.096,80",09/04/2019,17:38
20,IBEX 35® Apalancado Neto X10,"2.187,80","2.126,40","-2,81","2.366,10","2.081,00",09/04/2019,17:38
21,IBEX 35® Capped Net Return,"22.651,80","22.588,30","-0,28","22.836,50","22.541,50",09/04/2019,17:38
22,IBEX 35® Impacto Div,"100,30","104,70",- ,"104,70","104,70",09/04/2019,17:38
23,IBEX 35® Volatilidad Objetivo 10% Estándar,"185,60","185,20","-0,22","186,80","184,90",09/04/2019,17:38
24,IBEX 35® Volatilidad Objetivo 12% Estándar,"193,30","192,80","-0,26","194,80","192,40",09/04/2019,17:38
25,IBEX 35® Volatilidad Objetivo 15% Estándar,"200,60","200,00","-0,30","202,50","199,50",09/04/2019,17:38
26,IBEX 35® Volatilidad Objetivo 18% Estándar,"201,80","201,00","-0,40","204,10","200,40",09/04/2019,17:38
27,IBEX 35® Volatilidad Objetivo 10% Financiado,"133,90","133,60","-0,22","134,70","133,40",09/04/2019,17:38
28,IBEX 35® Volatilidad Objetivo 12% Financiado,"137,10","136,70","-0,29","138,10","136,50",09/04/2019,17:38
29,IBEX 35® Volatilidad Objetivo 15% Financiado,"147,20","146,70","-0,34","148,60","146,40",09/04/2019,17:38
30,IBEX 35® Volatilidad Objetivo 18% Financiado,"141,90","141,30","-0,42","143,50","140,90",09/04/2019,17:38
31,VIBEX®,"13,70","13,26","-3,21","13,26","13,26",09/04/2019, 
32,IBEX 35® Skew,"6,11","6,19","1,31","6,19","6,19",09/04/2019, 
33,IBEX 35® BuyWrite,"1.656,71","1.657,80","0,07","1.657,80","1.657,80",09/04/2019, 
34,IBEX 35® PutWrite,"1.643,23","1.643,23","0,00","1.643,23","1.643,23",09/04/2019, 
35,IBEX 35® Protective Put,"579,97","579,93","-0,01","579,93","579,93",09/04/2019, 
36,IBEX 35® Venta de Strangle,"2.172,50","2.174,16","0,08","2.174,16","2.174,16",09/04/2019, 
37,IBEX TOP Dividendo® Rentabilidad,"7.036,30","7.011,70","-0,35","7.076,40","6.998,20",09/04/2019,17:38
38,IBEX TOP Dividendo® Rentabilidad Neta,"5.962,00","5.939,60","-0,38","5.994,40","5.928,10",09/04/2019,17:38
39,IBEX MEDIUM CAP® con Dividendos,"14.556,80","14.484,40","-0,50","14.564,60","14.452,30",09/04/2019,17:38
40,IBEX MEDIUM CAP® con Dividendos Netos,"13.688,90","13.620,80","-0,50","13.696,20","13.590,70",09/04/2019,17:38
41,IBEX SMALL CAP® con Dividendos,"9.563,20","9.402,60","-1,68","9.547,10","9.357,30",09/04/2019,17:38
42,IBEX SMALL CAP® con Dividendos Netos,"9.276,40","9.120,60","-1,68","9.260,80","9.076,60",09/04/2019,17:38
43,IBEX MAB® 15,"1.106,10","1.110,90","0,43","1.118,20","1.100,00",09/04/2019,17:39
44,IBEX MAB® All Share,"1.003,40","1.007,10","0,37","1.010,00","999,50",09/04/2019,17:39
45,FTSE4Good IBEX,"9.726,40","9.699,70","-0,27","9.799,70","9.677,00",09/04/2019,17:38
46,FTSE4Good IBEX Total Return,"20.045,50","20.000,70","-0,22","20.206,80","19.953,70",09/04/2019,17:38
47,FTSE4Good IBEX Net Return,"18.005,00","17.963,00","-0,23","18.148,10","17.920,80",09/04/2019,17:38
48,FTSE Latibex All Share,"2.553,20","2.533,80","-0,76","2.554,10","2.533,80",09/04/2019,17:38
49,FTSE Latibex TOP,"5.304,60","5.245,90","-1,11","5.304,60","5.245,90",09/04/2019,17:38
50,FTSE Latibex BRASIL,"12.063,30","11.866,70","-1,63","12.075,00","11.866,70",09/04/2019,17:38
51,I.G.B.M.,"951,66","948,43","-0,34","958,23","946,57",09/04/2019,17:38
52,I.G.B.M. Total,"3.724,77","3.713,57","-0,30","3.713,57","3.713,57",09/04/2019,17:38
53,BCN GLOBAL 100 (Base 1986),"749,52","746,82","-0,36","755,42","745,15",09/04/2019,17:38
54,BCN GLOBAL 100 (Base 1963),"1.926,41","1.919,47","-0,36","1.941,57","1.915,17",09/04/2019,17:38
55,BCN MID 50,"22.794,27","22.520,45","-1,20","22.744,63","22.437,61",09/04/2019,17:38
56,BCN PROFIT-30,"13.822,46","13.748,40","-0,54","13.923,09","13.720,42",09/04/2019,17:38
57,BCN ROE-30,"21.662,42","21.506,28","-0,72","21.718,23","21.456,85",09/04/2019,17:38
58,BCN PER-30,"22.772,29","22.586,29","-0,82","22.863,62","22.539,72",09/04/2019,17:38
59,BCN INDEXCAT,"19.625,35","19.717,80","0,47","19.878,88","19.645,74",09/04/2019,17:38
60,BCN TOP EURO,"1.101,40","1.097,58","-0,35","1.109,77","1.095,51",09/04/2019,17:38
61,BCN TOP 5,"1.115,76","1.113,92","-0,16","1.127,57","1.111,70",09/04/2019,17:38
62,BILBAO,"1.474,30","1.469,51","-0,32","1.485,17","1.466,44",09/04/2019,17:38
63,VALENCIA,"1.264,27","1.258,91","-0,42","1.273,70","1.256,17",09/04/2019,17:38
64,Índice TEF Apalancado X3,"2.768,40","2.732,50","-1,30","2.808,70","2.725,80",09/04/2019,17:38
65,Índice SAN Apalancado X3,"3.298,50","3.270,30","-0,85","3.426,90","3.228,60",09/04/2019,17:38
66,Índice BBVA Apalancado X3,"1.896,90","1.910,70","0,73","1.984,40","1.878,70",09/04/2019,17:38
67,Índice ITX Apalancado X3,"4.958,50","4.902,50","-1,13","5.154,20","4.869,00",09/04/2019,17:38
68,Índice TEF Apalancado X5,"81,20","79,40","-2,22","83,20","79,10",09/04/2019,17:38
69,Índice SAN Apalancado X5,"853,10","840,90","-1,43","908,40","823,00",09/04/2019,17:38
70,Índice BBVA Apalancado X5,"98,40","99,60","1,22","106,00","96,80",09/04/2019,17:38
71,Índice ITX Apalancado X5,"1.273,20","1.249,20","-1,89","1.356,90","1.234,90",09/04/2019,17:38
72,Índice TEF Inverso X3,"3.247,30","3.287,70","1,24","3.295,60","3.198,40",09/04/2019,17:38
73,Índice SAN Inverso X3,"588,20","592,90","0,80","600,40","565,00",09/04/2019,17:38
74,Índice BBVA Inverso X3,"1.630,80","1.618,10","-0,78","1.645,60","1.554,80",09/04/2019,17:38
75,Índice ITX Inverso X3,"2.700,40","2.729,50","1,08","2.747,80","2.592,50",09/04/2019,17:38
76,Índice TEF Inverso X5,"555,60","567,10","2,07","569,40","541,70",09/04/2019,17:38
77,Índice SAN Inverso X5,"16,50","16,70","1,21","17,10","15,40",09/04/2019,17:38
78,Índice BBVA Inverso X5,"108,80","107,40","-1,29","110,40","100,30",09/04/2019,17:38
79,Índice ITX Inverso X5,"476,00","484,60","1,81","489,90","444,30",09/04/2019,17:38
