,Nombres,Anteriores,Ultimos,Difs,Maximos,Minimos,Fechas,Horas,Difs_Anno_2019
0,IBEX 35®,"9.468,50","9.491,80","0,25","9.528,40","9.483,00",15/04/2019,14:00,"11,15"
1,IBEX 35® con Dividendos,"26.706,40","26.772,10","0,25","26.875,40","26.747,30",15/04/2019,14:00,"12,30"
2,IBEX MEDIUM CAP®,"13.685,70","13.764,50","0,58","13.776,00","13.717,20",15/04/2019,14:00,"5,93"
3,IBEX SMALL CAP®,"6.684,90","6.710,80","0,39","6.724,60","6.691,50",15/04/2019,14:00,"10,25"
4,IBEX 35® Bancos,"586,30","587,60","0,22","593,60","585,10",15/04/2019,14:00,"9,73"
5,IBEX 35® Energía,"1.302,40","1.298,80","-0,28","1.306,90","1.298,00",15/04/2019,13:59,"7,95"
6,IBEX 35® Construcción,"1.515,70","1.524,30","0,57","1.526,50","1.518,70",15/04/2019,13:59,"23,20"
7,IBEX TOP Dividendo®,"2.973,10","2.986,40","0,45","2.996,40","2.981,40",15/04/2019,14:00,"9,24"
8,IBEX 35® con Dividendos Netos,"22.694,40","22.750,20","0,25","22.838,00","22.729,10",15/04/2019,14:00,"12,08"
9,IBEX 35® Inverso,"2.584,10","2.577,70","-0,25","2.580,10","2.567,70",15/04/2019,14:00,"-11,41"
10,IBEX 35® Doble Inverso,"385,50","383,60","-0,49","384,30","380,60",15/04/2019,14:00,"-21,81"
11,IBEX 35® Triple Inverso,"25,80","25,60","-0,78","25,70","25,30",15/04/2019,14:00,"-30,81"
12,IBEX 35® Inverso X5,"10,20","10,10","-0,98","10,10","9,90",15/04/2019,14:00,"-48,99"
13,IBEX 35® Inverso X10,"315,80","308,00","-2,47","310,90","295,80",15/04/2019,14:00,"-75,69"
14,IBEX 35® Doble Apalancado,"5.531,60","5.558,70","0,49","5.601,50","5.548,40",15/04/2019,14:00,"22,93"
15,IBEX 35® Doble Apalancado Bruto,"22.074,20","22.182,40","0,49","22.353,10","22.141,40",15/04/2019,14:00,"25,51"
16,IBEX 35® Doble Apalancado Neto,"18.922,00","19.014,70","0,49","19.161,10","18.979,50",15/04/2019,14:00,"25,02"
17,IBEX 35® Triple Apalancado,"1.137,40","1.145,80","0,74","1.158,90","1.142,60",15/04/2019,14:00,"35,39"
18,IBEX 35® Triple Apalancado Neto,"11.023,60","11.104,50","0,73","11.232,40","11.073,70",15/04/2019,14:00,"38,86"
19,IBEX 35® Apalancado Neto X5,"2.198,20","2.225,00","1,22","2.267,60","2.214,80",15/04/2019,14:00,"69,16"
20,IBEX 35® Apalancado Neto X10,"2.286,50","2.342,30","2,44","2.430,80","2.321,00",15/04/2019,14:00,"158,19"
21,IBEX 35® Capped Net Return,"22.756,50","22.812,40","0,25","22.900,50","22.791,30",15/04/2019,14:00,"12,08"
22,IBEX 35® Impacto Div,"116,10","116,10",- ,"116,10","116,10",12/04/2019,17:38,- 
23,IBEX 35® Volatilidad Objetivo 10% Estándar,"186,30","186,70","0,21","187,20","186,50",15/04/2019,14:00,"7,98"
24,IBEX 35® Volatilidad Objetivo 12% Estándar,"194,20","194,70","0,26","195,40","194,50",15/04/2019,14:00,"9,51"
25,IBEX 35® Volatilidad Objetivo 15% Estándar,"201,80","202,40","0,30","203,30","202,20",15/04/2019,14:00,"12,13"
26,IBEX 35® Volatilidad Objetivo 18% Estándar,"203,20","203,90","0,34","205,10","203,70",15/04/2019,14:00,"14,61"
27,IBEX 35® Volatilidad Objetivo 10% Financiado,"134,40","134,70","0,22","135,10","134,60",15/04/2019,14:00,"7,93"
28,IBEX 35® Volatilidad Objetivo 12% Financiado,"137,70","138,00","0,22","138,50","137,90",15/04/2019,14:00,"9,35"
29,IBEX 35® Volatilidad Objetivo 15% Financiado,"148,00","148,40","0,27","149,10","148,30",15/04/2019,14:00,"12,00"
30,IBEX 35® Volatilidad Objetivo 18% Financiado,"142,80","143,30","0,35","144,10","143,10",15/04/2019,14:00,"14,46"
31,VIBEX®,"12,43","11,89","-4,34","11,89","11,89",12/04/2019, ,"-43,73"
32,IBEX 35® Skew,"5,80","5,81","0,17","5,81","5,81",12/04/2019, ,"5,25"
33,IBEX 35® BuyWrite,"1.663,46","1.665,03","0,09","1.665,03","1.665,03",12/04/2019, ,"11,87"
34,IBEX 35® PutWrite,"1.643,59","1.643,59","0,00","1.643,59","1.643,59",12/04/2019, ,"3,11"
35,IBEX 35® Protective Put,"582,60","583,46","0,15","583,46","583,46",12/04/2019, ,"8,43"
36,IBEX 35® Venta de Strangle,"2.172,02","2.170,84","-0,05","2.170,84","2.170,84",12/04/2019, ,"2,95"
37,IBEX TOP Dividendo® Rentabilidad,"7.102,00","7.133,80","0,45","7.157,70","7.121,90",15/04/2019,14:00,"10,34"
38,IBEX TOP Dividendo® Rentabilidad Neta,"6.014,60","6.041,50","0,45","6.061,80","6.031,40",15/04/2019,14:00,"10,13"
39,IBEX MEDIUM CAP® con Dividendos,"14.517,60","14.601,10","0,58","14.613,30","14.550,90",15/04/2019,14:00,"6,80"
40,IBEX MEDIUM CAP® con Dividendos Netos,"13.652,00","13.730,60","0,58","13.742,00","13.683,40",15/04/2019,14:00,"6,63"
41,IBEX SMALL CAP® con Dividendos,"9.480,20","9.519,00","0,41","9.538,70","9.491,70",15/04/2019,14:00,"10,46"
42,IBEX SMALL CAP® con Dividendos Netos,"9.195,80","9.233,10","0,41","9.252,20","9.206,60",15/04/2019,14:00,"10,42"
43,IBEX MAB® 15,"1.102,60","1.094,10","-0,77","1.105,80","1.092,10",15/04/2019,13:48,"20,55"
44,IBEX MAB® All Share,"997,80","993,30","-0,45","999,80","991,90",15/04/2019,13:48,"6,38"
45,FTSE4Good IBEX,"9.756,80","9.785,80","0,30","9.814,60","9.770,20",15/04/2019,14:00,"10,53"
46,FTSE4Good IBEX Total Return,"20.140,90","20.200,70","0,30","20.260,10","20.168,40",15/04/2019,14:00,"11,65"
47,FTSE4Good IBEX Net Return,"18.085,10","18.138,80","0,30","18.192,20","18.109,90",15/04/2019,14:00,"11,43"
48,FTSE Latibex All Share,"2.465,20","2.481,70","0,67","2.484,30","2.481,70",15/04/2019,11:35,"13,92"
49,FTSE Latibex TOP,"5.191,10","5.211,70","0,40","5.219,40","5.211,70",15/04/2019,11:35,"11,43"
50,FTSE Latibex BRASIL,"11.622,20","11.704,90","0,71","11.704,90","11.704,90",15/04/2019,11:30,"13,73"
51,I.G.B.M.,"955,45","957,69","0,23","961,13","956,71",15/04/2019,14:00,"11,02"
52,I.G.B.M. Total,"3.732,44","3.744,37","0,32","3.744,37","3.744,37",12/04/2019,17:38,"12,03"
53,BCN GLOBAL 100 (Base 1986),"753,89","756,13","0,30","759,38","754,91",15/04/2019,14:00,"12,81"
54,BCN GLOBAL 100 (Base 1963),"1.937,62","1.943,39","0,30","1.951,74","1.940,26",15/04/2019,14:00,"12,81"
55,BCN MID 50,"22.713,88","22.874,33","0,71","22.890,19","22.744,06",15/04/2019,14:00,"13,15"
56,BCN PROFIT-30,"13.923,17","13.964,69","0,30","14.007,62","13.940,43",15/04/2019,14:00,"9,39"
57,BCN ROE-30,"21.771,29","21.846,27","0,34","21.885,04","21.812,20",15/04/2019,14:00,"11,20"
58,BCN PER-30,"23.003,97","23.093,15","0,39","23.138,62","23.047,07",15/04/2019,14:00,"9,57"
59,BCN INDEXCAT,"19.715,15","19.828,20","0,57","19.857,12","19.713,76",15/04/2019,14:00,"7,44"
60,BCN TOP EURO,"1.104,12","1.106,23","0,19","1.111,18","1.105,22",15/04/2019,14:00,"10,62"
61,BCN TOP 5,"1.126,95","1.129,31","0,21","1.136,29","1.128,15",15/04/2019,14:00,"12,93"
62,BILBAO,"1.476,29","1.480,70","0,30","1.485,32","1.479,56",15/04/2019,14:00,"11,32"
63,VALENCIA,"1.266,62","1.269,84","0,25","1.274,57","1.268,44",15/04/2019,14:00,"13,52"
64,Índice TEF Apalancado X3,"2.781,20","2.830,50","1,77","2.851,80","2.794,60",15/04/2019,14:00,"3,04"
65,Índice SAN Apalancado X3,"3.681,90","3.702,30","0,55","3.818,60","3.650,30",15/04/2019,14:00,"49,32"
66,Índice BBVA Apalancado X3,"2.088,30","2.085,90","-0,11","2.151,90","2.064,30",15/04/2019,14:00,"71,41"
67,Índice ITX Apalancado X3,"4.790,30","4.850,20","1,25","4.937,60","4.839,30",15/04/2019,14:00,"57,57"
68,Índice TEF Apalancado X5,"81,80","84,20","2,93","85,30","82,50",15/04/2019,14:00,"1,32"
69,Índice SAN Apalancado X5,"1.020,40","1.029,80","0,92","1.083,50","1.005,80",15/04/2019,14:00,"78,57"
70,Índice BBVA Apalancado X5,"115,00","114,80","-0,17","120,80","112,80",15/04/2019,14:00,"125,54"
71,Índice ITX Apalancado X5,"1.201,10","1.226,10","2,08","1.262,70","1.221,60",15/04/2019,14:00,"98,01"
72,Índice TEF Inverso X3,"3.224,10","3.162,00","-1,93","3.203,60","3.137,30",15/04/2019,14:00,"-14,48"
73,Índice SAN Inverso X3,"521,50","517,80","-0,71","525,20","501,30",15/04/2019,14:00,"-46,35"
74,Índice BBVA Inverso X3,"1.464,90","1.464,30","-0,04","1.479,40","1.418,10",15/04/2019,14:00,"-53,37"
75,Índice ITX Inverso X3,"2.786,10","2.747,00","-1,40","2.753,30","2.696,10",15/04/2019,14:00,"-47,54"
76,Índice TEF Inverso X5,"548,80","531,20","-3,21","543,00","524,20",15/04/2019,14:00,"-26,06"
77,Índice SAN Inverso X5,"13,30","13,10","-1,50","13,50","12,40",15/04/2019,14:00,"-67,89"
78,Índice BBVA Inverso X5,"90,40","90,30","-0,11","91,90","85,60",15/04/2019,14:00,"-74,41"
79,Índice ITX Inverso X5,"501,10","489,40","-2,33","491,30","474,10",15/04/2019,14:00,"-68,51"
0,IBEX 35®,"9.468,50","9.487,30","0,20","9.528,40","9.483,00",15/04/2019,14:02,"11,09"
1,IBEX 35® con Dividendos,"26.706,40","26.759,40","0,20","26.875,40","26.747,30",15/04/2019,14:02,"12,25"
2,IBEX MEDIUM CAP®,"13.685,70","13.762,40","0,56","13.776,00","13.717,20",15/04/2019,14:02,"5,91"
3,IBEX SMALL CAP®,"6.684,90","6.711,30","0,39","6.724,60","6.691,50",15/04/2019,14:02,"10,26"
4,IBEX 35® Bancos,"586,30","586,80","0,09","593,60","585,10",15/04/2019,14:02,"9,58"
5,IBEX 35® Energía,"1.302,40","1.299,10","-0,25","1.306,90","1.298,00",15/04/2019,14:02,"7,98"
6,IBEX 35® Construcción,"1.515,70","1.524,60","0,59","1.526,50","1.518,70",15/04/2019,14:01,"23,22"
7,IBEX TOP Dividendo®,"2.973,10","2.986,00","0,43","2.996,40","2.981,40",15/04/2019,14:02,"9,22"
8,IBEX 35® con Dividendos Netos,"22.694,40","22.739,40","0,20","22.838,00","22.729,10",15/04/2019,14:02,"12,03"
9,IBEX 35® Inverso,"2.584,10","2.578,30","-0,22","2.580,10","2.567,70",15/04/2019,14:02,"-11,39"
10,IBEX 35® Doble Inverso,"385,50","383,80","-0,44","384,30","380,60",15/04/2019,14:02,"-21,77"
11,IBEX 35® Triple Inverso,"25,80","25,60","-0,78","25,70","25,30",15/04/2019,14:02,"-30,81"
12,IBEX 35® Inverso X5,"10,20","10,10","-0,98","10,10","9,90",15/04/2019,14:02,"-48,99"
13,IBEX 35® Inverso X10,"315,80","308,70","-2,25","310,90","295,80",15/04/2019,14:02,"-75,64"
14,IBEX 35® Doble Apalancado,"5.531,60","5.556,30","0,45","5.601,50","5.548,40",15/04/2019,14:02,"22,88"
15,IBEX 35® Doble Apalancado Bruto,"22.074,20","22.172,60","0,45","22.353,10","22.141,40",15/04/2019,14:02,"25,45"
16,IBEX 35® Doble Apalancado Neto,"18.922,00","19.006,30","0,45","19.161,10","18.979,50",15/04/2019,14:02,"24,96"
17,IBEX 35® Triple Apalancado,"1.137,40","1.145,00","0,67","1.158,90","1.142,60",15/04/2019,14:02,"35,29"
